Time,ROOM 2::Des Heat Load [W],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 2::Des Heat Mass Flow [kg/s],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 2::Des Latent Heat Load [W],ROOM 2::Des Latent Cool Load [W],ROOM 2::Des Latent Heat Mass Flow [kg/s],ROOM 2::Des Latent Cool Mass Flow [kg/s],ROOM 2::Des Heat Load No DOAS [W],ROOM 2::Des Sens Cool Load No DOAS [W],ROOM 2::Des Latent Heat Load No DOAS [W],ROOM 2::Des Latent Cool Load No DOAS [W],ROOM 2::Heating Zone Temperature [C],ROOM 2::Heating Zone Relative Humidity [%],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 2:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ROOM 3::Des Heat Load [W],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM 3::Des Heat Mass Flow [kg/s],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM 3::Des Latent Heat Load [W],ROOM 3::Des Latent Cool Load [W],ROOM 3::Des Latent Heat Mass Flow [kg/s],ROOM 3::Des Latent Cool Mass Flow [kg/s],ROOM 3::Des Heat Load No DOAS [W],ROOM 3::Des Sens Cool Load No DOAS [W],ROOM 3::Des Latent Heat Load No DOAS [W],ROOM 3::Des Latent Cool Load No DOAS [W],ROOM 3::Heating Zone Temperature [C],ROOM 3::Heating Zone Relative Humidity [%],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM 3:BANGKOK ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
03:30:00,0.000000E+00,3.227687E+02,0.000000E+00,2.491092E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669498E+01,6.003867E+01,0.000000E+00,3.278099E+02,0.000000E+00,2.530010E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669493E+01,5.987821E+01
03:40:00,0.000000E+00,3.191758E+02,0.000000E+00,2.463355E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669502E+01,6.014708E+01,0.000000E+00,3.241460E+02,0.000000E+00,2.501725E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669497E+01,5.998730E+01
03:50:00,0.000000E+00,3.155219E+02,0.000000E+00,2.435147E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669506E+01,6.025892E+01,0.000000E+00,3.204212E+02,0.000000E+00,2.472970E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669501E+01,6.009979E+01
04:00:00,0.000000E+00,3.118161E+02,0.000000E+00,2.406540E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669510E+01,6.037401E+01,0.000000E+00,3.166447E+02,0.000000E+00,2.443816E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669505E+01,6.021551E+01
04:10:00,0.000000E+00,3.081324E+02,0.000000E+00,2.378102E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669514E+01,6.049219E+01,0.000000E+00,3.128905E+02,0.000000E+00,2.414833E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669509E+01,6.033429E+01
04:20:00,0.000000E+00,3.044777E+02,0.000000E+00,2.349888E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669517E+01,6.061149E+01,0.000000E+00,3.091653E+02,0.000000E+00,2.386076E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669512E+01,6.045421E+01
04:30:00,0.000000E+00,3.008573E+02,0.000000E+00,2.321940E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669521E+01,6.073097E+01,0.000000E+00,3.054747E+02,0.000000E+00,2.357585E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669516E+01,6.057430E+01
04:40:00,0.000000E+00,2.972773E+02,0.000000E+00,2.294303E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669524E+01,6.085064E+01,0.000000E+00,3.018247E+02,0.000000E+00,2.329408E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669519E+01,6.069460E+01
04:50:00,0.000000E+00,2.937419E+02,0.000000E+00,2.267012E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669528E+01,6.097086E+01,0.000000E+00,2.982195E+02,0.000000E+00,2.301577E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669523E+01,6.081547E+01
05:00:00,0.000000E+00,2.902561E+02,0.000000E+00,2.240102E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669532E+01,6.109200E+01,0.000000E+00,2.946641E+02,0.000000E+00,2.274131E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.669527E+01,6.093728E+01
